adani,gail,hdfc,infy,kotak,reliance,tatasteel,nifty 500
379.649994,90.134003,1408.449951,1123.699951,1796.650024,1993.25,522.700012,10524
391.100006,90.519394,1408.699951,1110.550049,1830.599976,1987.199951,517.200012,10588.35
381.899994,90.230347,1374.349976,1096.75,1826.349976,1973.150024,523.599976,10477.5
375.850006,93.891594,1403.650024,1103.349976,1889.400024,1899.5,532.900024,10560.55
375.149994,97.215614,1394.599976,1139.849976,1897.849976,1950.699951,543.099976,10635.95
392.25,96.637527,1438.199951,1140.050049,1924.900024,1964.050049,548.299988,10733.6
398.950012,98.564499,1402.800049,1115.650024,1862.449951,1947.800049,541.25,10574.95
410.149994,98.99807,1426.650024,1113.199951,1889.099976,1952.599976,568.400024,10674.05
411.549988,98.901718,1440.849976,1100,1907.099976,1929.800049,577.349976,10719.05
423.799988,106.657761,1433.300049,1137.849976,1875.849976,1954.900024,585.799988,10835.15
438.200012,112.438675,1406.949951,1140.900024,1814.199951,1958.150024,604.349976,10858.15
435.799988,113.932083,1377.199951,1126.449951,1821,1964.050049,620.900024,10893.6
453.700012,115.425484,1385.599976,1134.650024,1846.25,1946.75,622.700012,10978.85
471.5,117.930542,1372.25,1143.5,1820.550049,1958.199951,614.549988,11070.25
463.350006,117.304276,1376.300049,1153.349976,1833.800049,1993.75,613.450012,11088.65
463.899994,118.026894,1407.199951,1175.199951,1883.550049,2026.949951,609.349976,11181.2
471,115.666351,1385.849976,1167.75,1903.300049,2007,610.099976,11141.35
466.299988,121.254562,1382.800049,1163.199951,1920.400024,2005.800049,621.700012,11171.4
467,120.869164,1372.150024,1164.550049,1939.349976,1991.300049,626.75,11215.25
475.75,120.676468,1391.300049,1154.599976,1951.150024,1974.349976,635.349976,11223.9
475.549988,119.857506,1410.699951,1165.699951,1952.550049,1976.550049,643.400024,11320.1
467.75,119.375763,1441.800049,1159.199951,1965.449951,1985.599976,635.299988,11346.35
463.299988,120.483772,1411.349976,1189.800049,1949.349976,1991.550049,631.25,11355
444.25,110.511703,1372.650024,1177.300049,1920.849976,1939.699951,595.849976,10964.25
468.649994,114.172943,1373.099976,1220.5,1902.949951,1936.699951,601.349976,11075.75
470.75,113.932083,1375.650024,1253.050049,1920.75,1943.849976,621.400024,11225.55
478.549988,115.762695,1397.099976,1236.050049,1960.599976,1994.150024,622.299988,11325.25
483.549988,118.171417,1412.849976,1240.300049,1988.900024,2003.300049,632.650024,11434.7
483.399994,119.231239,1427.199951,1250.300049,1999.300049,1990.050049,632.200012,11467
485.399994,118.60498,1432.5,1246.800049,2017.949951,1995.5,640.450012,11509.65
483.75,118.749504,1436.300049,1255.800049,1995.599976,1985.300049,643.650024,11518.3
503.850006,119.134895,1425.050049,1260.449951,1994.050049,1987.5,643.099976,11574.85
498.899994,123.326057,1416,1288.25,1965.550049,1990.849976,693,11691.8
499.450012,124.578583,1426.699951,1293.800049,1959.75,1966.099976,680.549988,11767
496.799988,129.106964,1420.550049,1282.099976,1970.400024,1914.25,683.799988,11737.9
513.849976,128.577042,1416.25,1262.150024,1952.400024,1911.150024,722.799988,11766.1
517,127.902611,1431.650024,1312.099976,1970.699951,1933.699951,713.150024,11925.6
508.350006,130.744888,1451.449951,1376.199951,1938.150024,1897.25,695.650024,12006.5
511.25,136.23674,1481,1371.75,1903.449951,1957.050049,694.900024,12058.35
536.650024,136.092224,1470.650024,1387.150024,1882.099976,1938.800049,709.150024,12041.1
536.950012,138.741821,1468.75,1370.5,1892.650024,1960.599976,706.349976,12069.5
527.950012,133.442642,1466.650024,1344.949951,1863.900024,1937.449951,705.900024,11931.2
515.5,132.864548,1483.099976,1312.050049,1846.949951,1983.949951,666.700012,11776.2
532.799988,134.550659,1503.849976,1316.650024,1887,2016.400024,681.099976,11981.85
558.599976,132.960892,1492,1339.449951,1883.599976,2054.699951,690.150024,12078.35
547.650024,128.866089,1474.800049,1339.699951,1857.800049,2099.399902,666.700012,12015.95
535.799988,129.155136,1443.550049,1340.849976,1828,2049.600098,647,11854.5
523.650024,128.095291,1462.849976,1325.099976,1794.400024,1941,651.950012,11743.7
518.849976,125.394943,1409.599976,1301,1764.699951,1895,626,11546.35
519.099976,126.278702,1371.449951,1276.199951,1722.849976,1876.550049,623.700012,11442.55
509.700012,123.038269,1390.5,1239.050049,1712.949951,1841.949951,601,11302.4
542.75,125.100365,1476.75,1260.900024,1801.5,1895.300049,636.099976,11770.15
550.799988,127.358841,1560.550049,1271.25,1861.300049,1925.800049,641.650024,12053.25
560.099976,128.095306,1574.800049,1284.650024,1852.199951,1930.650024,653.150024,12174.05
568.400024,128.34079,1579.099976,1279.349976,1910.400024,1924.300049,655.950012,12285.85
566.950012,125.885918,1597.599976,1272.099976,1982.699951,1923.75,685.049988,12279.85
582.049988,129.028152,1605.25,1303.550049,1957.150024,1951.449951,702.950012,12441.3
581.950012,128.684479,1611.849976,1305.550049,1949.150024,1956.150024,699.200012,12434.2
576.849976,131.188446,1581.75,1296.5,1952.050049,1974.300049,690.25,12452.45
591.849976,133.987,1572.349976,1292.650024,1961,2055.699951,694.700012,12514.1
616.599976,130.501068,1581.949951,1309.800049,1951.050049,2041.599976,680.5,12508.55
627.75,131.384842,1616.599976,1309.650024,1985.949951,2032.599976,672.150024,12632.05
636.549988,130.697479,1626.650024,1290.400024,2019.650024,2059.5,699.200012,12647.2
655.75,131.973999,1586.5,1281.300049,1989.449951,2083.25,696.799988,12597.45
664.049988,140.516968,1554.300049,1292.449951,1945.449951,2067.699951,697.75,12565.7
653.5,142.775436,1539.099976,1291.300049,1938.75,2080.300049,670.700012,12438.8
673.799988,140.222382,1548,1265.199951,1949.599976,2008.099976,684.549988,12212.55
662,144.690262,1529.150024,1266.349976,1872.949951,2023.449951,729.299988,12263.7
665.200012,143.806488,1606.449951,1274.300049,1911.199951,2061,727.700012,12455.2
704.299988,148.077972,1606.400024,1274.550049,1895.5,2144.350098,742.900024,12567.85
675.900024,139.240433,1534.400024,1253.300049,1780.349976,2085.800049,715.150024,12181.4
692.900024,141.891693,1558.900024,1267,1845.400024,2101.699951,730.400024,12368.3
720.5,142.186279,1568.199951,1304.5,1844.650024,2106,735.5,12519.4
729.849976,144.29747,1586.849976,1343.550049,1899.5,2202.100098,777.150024,12764.8
752.450012,141.84259,1552.050049,1330.349976,1897.699951,2175.850098,757.950012,12688.85
748.950012,144.493851,1530,1316.699951,1922.5,2178.699951,733.299988,12539
748.400024,151.367508,1519.5,1335.75,1915.849976,2191.100098,737.25,12558.95
750.75,146.359573,1562.5,1345.550049,1978.949951,2191.050049,706.75,12617.2
745.349976,145.033936,1555.75,1368.150024,1963.949951,2181.949951,724.5,12691.35
728.150024,144.19928,1551.949951,1374.849976,1935.150024,2137.600098,719.950012,12593.9
719.049988,140.958847,1528.650024,1373.599976,1918.650024,2108.899902,736.400024,12510.15
717.349976,140.664261,1512.150024,1384,1903.199951,2100.600098,724.049988,12512.7
688.25,135.901794,1495.349976,1387,1868.349976,2055.350098,704.400024,12319.9
679.650024,132.661377,1491,1337.099976,1830.400024,2009.099976,704.849976,12174.45
686.25,136,1497.5,1344.449951,1834.150024,2082,733,12314.5
721.900024,136.800003,1469.150024,1370.800049,1822.650024,2062.399902,743.5,12338.6
738.549988,134.399994,1500.150024,1371.550049,1812.650024,2087.5,741.150024,12417.3
706.849976,131,1478.800049,1353.75,1782.449951,2047.300049,702.799988,12197.2
688.25,128,1463.349976,1333.800049,1762.900024,1991.449951,723.150024,11993.3
703.049988,131.800003,1491.300049,1336.199951,1771.050049,1994.650024,766.849976,12148.9
710.549988,132.350006,1553.699951,1385.300049,1781.25,2029.300049,800,12387.9
702.400024,135.5,1493.650024,1368.050049,1753,2003.099976,811.849976,12313.7
736.25,140.149994,1486.75,1385.199951,1804.550049,2021.849976,863.049988,12479
742.25,134.949997,1449.599976,1409.900024,1759.199951,1992.599976,867.75,12298.6
835.549988,134.550003,1440.25,1411.050049,1768.300049,1984.300049,862.849976,12358.1
814.75,138.649994,1447.199951,1430.199951,1792,2002.849976,874.849976,12481.3
823,138.550003,1432.800049,1439.849976,1783.25,2005.349976,918.400024,12541.65
823.599976,138.800003,1421.75,1441.050049,1799.25,1982.050049,899.5,12527.4
744.650024,132.75,1367.050049,1425.75,1742.5,1911.150024,851.549988,12024.1
731.049988,138.899994,1400.349976,1397.150024,1775.849976,1931.800049,879,12186.7
750.349976,140.600006,1430.099976,1360.75,1773.25,1944.300049,898.200012,12237.6
755.5,139.600006,1428.650024,1353.75,1764.099976,1932.099976,890.25,12298.05
720.950012,136.399994,1412.400024,1362.550049,1700.75,1901.699951,888.049988,12076.45
720.450012,134.399994,1391.400024,1351.349976,1697.699951,1901.150024,894,12055.4
737.799988,133,1422.5,1351.099976,1736.050049,1906.400024,921.400024,12132.05
725.349976,129.399994,1414.150024,1333.800049,1734.199951,1904.349976,925.599976,12105.6
730.75,130,1404.800049,1343.550049,1759.650024,1937.849976,940.75,12216.85
749.150024,131.550003,1438.699951,1348.5,1750.300049,1988.650024,977.75,12362.55
746.25,133.350006,1476.800049,1356,1811.449951,1997.300049,971.400024,12517.95
746.75,134.800003,1472.5,1356.349976,1805,2024.050049,1031.349976,12532.8
732.450012,137.449997,1413.900024,1357.650024,1750.050049,1994.699951,1031.550049,12364.35
