adani,gail,hdfc,infy,kotak,reliance,tatasteel
290.100006,92.20549,1001.799988,698.388733,1357.199951,1446.801758,290.763367
266.350006,90.085823,923,657.588379,1277.800049,1416.405151,266.687439
263.100006,87.773468,911.450012,657.588379,1238.349976,1441.521729,265.761414
270.149994,91.242004,946.400024,649.974915,1245.949951,1441.620483,270.732574
282.399994,88.158859,925,649.047607,1199.800049,1487.215576,268.880585
285.049988,88.014336,929.049988,658.076416,1217.449951,1541.34729,266.005096
289.700012,88.688782,915.799988,666.56842,1188.449951,1556.150757,269.221741
291.5,85.461098,901.549988,671.204834,1157.199951,1459.878296,267.028595
309.350006,86.087364,927.650024,677.549316,1186.699951,1490.852051,269.562866
308.399994,82.329773,893.700012,642.410278,1173.099976,1430.578369,261.764984
309.25,82.667,888.150024,636.700195,1178.300049,1453.940674,266.541229
293.299988,78.042267,836.650024,648.022766,1113.650024,1435.360474,259.864288
319.200012,78.861229,830.650024,652.610291,1130.449951,1403.629639,265.127838
323.75,83.100563,857.099976,653.537598,1160.099976,1428.336792,276.044891
317.149994,84.738487,859.549988,656.124268,1150.25,1435.858643,276.532257
310.600006,84.015877,838.849976,675.792297,1160.199951,1426.194946,267.515961
315.600006,84.931183,852.400024,664.274536,1153.199951,1418.723022,273.36438
326.649994,85.364746,903.650024,688.579102,1217.550049,1440.142578,280.674866
331.799988,85.846489,945.25,690.482483,1229.449951,1466.742676,288.034119
323.799988,88.977821,951.650024,683.655762,1224,1458.921997,287.741699
329.350006,88.592422,987.650024,692.114868,1248.400024,1514.66272,307.236389
339.950012,93.02446,1001,700.573975,1342.900024,1529.9552,311.330261
339.549988,92.831757,1022.25,694.093628,1386.550049,1535.883057,309.380798
339.200012,93.698898,1001.700012,700.227722,1334.400024,1573.890381,311.866394
341.149994,94.276993,1033.349976,696.072388,1337.800049,1575.783203,330.386353
343.299988,100.925034,1015.900024,713.188477,1336.75,1563.628784,325.171509
346.049988,97.40831,987.299988,709.973022,1304.150024,1531.399902,323.806885
346.549988,94.51786,991.849976,708.241638,1332.25,1566.268921,315.814056
338.649994,92.060974,968.599976,696.46814,1298.699951,1531.947754,305.238159
345.299988,92.831757,982.75,684.69458,1279.800049,1582.856689,309.575745
339.75,96.011261,949.849976,680.242432,1248.900024,1608.510376,298.463776
340.799988,93.939774,990.400024,693.747375,1276.800049,1611.648438,301.144318
341.299988,92.735413,979.25,696.171326,1243.800049,1609.307251,300.413239
343.799988,93.506203,1019.950012,706.312378,1303.349976,1649.705688,310.06311
348.899994,95.866737,1033.349976,698.051147,1302.5,1752.818481,312.451202
349.600006,94.710556,1028.75,696.220825,1355.349976,1739.618042,317.4711
355.649994,95.625862,1042.300049,712.990662,1389.900024,1714.462524,323.611938
351.850006,97.697365,1032.5,706.559753,1343.900024,1721.386475,317.812256
344,99.335281,1028.75,693.05481,1381.699951,1711.473755,314.936798
343.200012,101.310425,1056.449951,740.247864,1340.099976,1735.134888,315.667847
342.649994,99.817017,1076.050049,723.972656,1355.650024,1716.704102,312.743652
343.899994,98.419975,1065.849976,728.128052,1360.449951,1697.725342,318.445831
343.799988,99.190758,1084.599976,724.121094,1356.75,1731.099976,315.521637
346.799988,99.720673,1089.400024,748.558533,1352,1760.349976,326.43866
360.399994,101.069557,1073.949951,754.59375,1353.800049,1787.900024,321.564972
359.450012,99.913368,1103,755.879883,1367.900024,1851.800049,330.337585
345.950012,99.094414,1105.150024,785.709473,1368.25,1823.449951,321.954865
340.600006,98.94989,1110.349976,766.466187,1352.75,1798,325.756348
343.149994,101.695824,1124.949951,773.391785,1368.150024,1824.25,335.796112
334.950012,98.660851,1105.099976,773.540161,1349.349976,1878.050049,330.14267
332.200012,97.40831,1080.25,788.578613,1335.550049,1935,333.456757
320.399994,95.433167,1058.849976,774.925293,1298.300049,1917,328.14444
315.149994,93.409851,1053.150024,822.118347,1290,1844,330.727478
311.200012,93.217155,1062.550049,901.317505,1322.650024,1843.400024,333.018127
313,97.167442,1098.449951,893.550964,1327.449951,1911.699951,342.08316
317.299988,96.541176,1133.050049,924.369873,1319.050049,1919.900024,343.496521
314.700012,100.00972,1138.550049,926.793823,1359,1971.550049,350.075958
312,98.227272,1126.349976,908.144226,1342.349976,2004,341.205872
313.899994,98.564499,1130.400024,898.299927,1374.050049,2057.800049,343.009155
309.399994,95.914909,1119.099976,913.041565,1350,2146.149902,337.355682
309.049988,93.939774,1079.5,938.369507,1322.599976,2156.199951,343.93515
318.600006,94.036118,1086.650024,952.616394,1384.050049,2177.699951,349.442413
315.149994,95.192299,1064.599976,944.008911,1389.449951,2096.649902,364.307098
312.5,93.072632,1050.650024,951.231323,1385,2108.850098,357.337769
315.200012,93.120811,1032.800049,955.732971,1365.75,2067.100098,357.045319
311.350006,90.663918,1002,946.729736,1308.550049,2009,364.063416
314.950012,89.748611,1041.650024,939.754578,1323.949951,2150.600098,362.845001
327.100006,89.893127,1027.550049,934.659363,1334.199951,2126.449951,385.799988
323.799988,92.157326,1040.699951,960.531372,1340.099976,2134.100098,400.450012
326.649994,93.361679,1043.849976,940.793457,1342.5,2146.449951,404.049988
331.299988,93.506203,1050.650024,941.238647,1360.199951,2119.850098,410.200012
